kepid,av_training_set,av_pred_class,tce_ror,av_vf_afp,tce_incl,tce_duration,tce_sma,tce_ldm_coeff4,tce_model_snr,tce_ingress,tce_max_sngle_ev,tce_impact,tce_depth,av_vf_ntp,av_pp_ntp
2307206,AFP,AFP,0.5,98.4074,89.97,10.5,0.6518,-0.3150696,-1.0,3.525,2001.0,0.1,471900.0,1.4745,0.1757
2307206,AFP,AFP,0.62679814,96.1961,89.75,11.69,0.6518,-0.3150696,1156.0,9.39,877.1,0.8299,235200.0,0.2359,0.2129
2307415,PC,PC,0.010959965,0.994,85.82,3.075,0.05591,0.019449,30.82,0.05708,6.539,0.6484,128.4,0.0207,0.0
2307415,PC,PC,0.012920734,0.9079,89.8,3.504,0.1122,0.019449,29.08,0.04515,6.329,0.1,199.2,0.0473,0.0
2440757,AFP,AFP,0.03004929,86.8676,88.5,0.9959,0.03881,0.262692,38.98,0.03914,9.194,0.515,989.1,1.8121,3.3866
2440757,AFP,AFP,0.024566222,74.6549,86.06,0.7864,0.03881,0.262692,16.37,0.09731,6.099,0.9082,500.2,6.7501,9.367
2441151,AFP,AFP,0.034139124,95.6815,72.75,2.273,0.02943,-0.0177662,82.14,0.5297,20.11,0.9403,883.5,0.5734,0.2744
2441161,AFP,AFP,0.40283953,98.3588,82.7,3.017,0.03003,-0.2805164,1060.0,1.802,185.2,0.8086,115800.0,0.6309,0.0944
2556639,UNK,NTP,0.012402861,30.2934,21.79,6.555,0.04136,0.332961,14.85,0.728,9.322,0.9487,123.8,66.5592,82.0665
2556650,PC,PC,0.041438321,12.1302,85.99,0.8872,0.02721,0.3399482,37.43,0.1609,8.111,0.9,1447.0,0.3039,1.4176
2557335,UNK,NTP,0.013084152,31.3262,17.65,1.366,0.0115,-0.0711908,13.37,0.1715,6.775,0.953,125.7,64.2383,77.5506
2557335,UNK,NTP,0.035182881,31.5744,88.13,1.5,0.0124,-0.0711908,-1.0,0.05148,3.787,0.1,1486.0,66.6159,81.215
2578404,AFP,AFP,0.014501723,92.4425,61.56,4.317,0.0225,-0.3554752,27.48,0.09583,5.063,0.6009,228.8,6.864,2.2388
2578404,AFP,AFP,0.019341247,92.8848,26.5,3.171,0.0225,-0.3554752,17.28,0.294,4.258,0.9,322.6,6.8015,2.1962
2578404,UNK,NTP,0.019335557,18.3244,88.14,1.5,0.01744,-0.3554752,-1.0,0.02874,4.358,0.1,440.1,81.107,94.3231
2578811,NTP,AFP,0.006507617,79.0874,86.07,2.768,0.05227,0.059056,10.98,0.04303,216.1,0.7667,42.23,6.676,6.8227
2578891,NTP,NTP,0.0064909307,9.0366,86.08,3.182,0.03786,0.2974402,12.77,0.02354,5.89,0.3592,48.11,86.8951,97.638
2693450,AFP,AFP,0.0039269398,99.8355,35.63,2.875,0.01975,0.4057316,9.44,0.0496,6.553,0.8811,14.04,0.1583,0.0742
2693736,PC,PC,0.024789474,0.6391,89.56,3.307,0.09819,-0.48611,36.7,0.08372,6.226,0.2137,758.7,0.0,0.0
2694337,AFP,AFP,0.0032278503,98.9249,20.18,2.177,0.0205,0.3019098,2.282,0.05861,5.334,0.9398,8.625,1.0031,0.095
2694337,AFP,AFP,0.0025500229,97.101,81.26,6.151,0.02049,0.3019098,1.623,0.01601,3.806,0.152,7.499,2.7942,0.6736
2715053,AFP,NTP,0.0060114752,46.0835,87.65,4.51,0.01969,0.2143116,10.02,0.02707,4.834,0.06743,42.67,53.5798,55.7523
2715113,AFP,AFP,0.0092956605,59.9777,89.9,5.039,0.01809,0.0963296,11.14,0.04641,9.476,0.002539,103.5,39.3407,33.2017
2715119,AFP,AFP,0.006573666,67.704,80.39,3.561,0.01887,-0.0859986,10.5,0.02608,4.972,0.3298,50.8,31.9919,27.3812
2715135,PC,PC,0.026155652,2.533,88.72,1.884,0.05407,-0.2634496,51.9,0.06145,9.551,0.4735,811.4,0.0737,0.0455
2830919,AFP,AFP,0.0095985084,65.5831,80.75,1.876,0.0256,0.030838,12.82,0.03634,5.578,0.7169,94.73,2.1471,11.1452
2831048,UNK,NTP,0.022987497,17.7811,89.79,25.77,1.25,-0.0011276,9.841,0.7468,9.892,0.4792,599.7,56.3697,72.4857
2831055,PC,PC,0.0073150649,7.7032,83.41,2.607,0.03355,-0.0760318,14.12,0.02951,6.904,0.6008,58.45,1.2638,1.2304
2831097,UNK,NTP,0.019315437,30.8484,89.16,1.371,0.02318,-0.1970964,7.014,0.02614,14.99,0.0771,434.5,61.3341,69.8022
2854927,UNK,NTP,0.010117133,23.4979,60.62,12.71,0.06963,0.1221992,7.649,0.6332,10.79,0.8982,88.84,70.813,86.5458
2854948,NTP,NTP,0.034084021,41.4609,83.78,0.9358,0.01832,-0.1192706,35.04,0.05517,58.58,0.6748,1202.0,46.0768,42.7911
2854953,UNK,NTP,0.0029225647,6.2287,53.07,2.431,0.02028,0.129466,3.985,0.02606,7.083,0.8546,7.956,93.5771,98.4809
2854953,NTP,NTP,0.005720521,13.2506,55.17,3.716,0.0322,0.129466,10.43,0.1104,4.658,0.9017,28.74,85.1256,96.6211
1295289,NTP,NTP,0.046315231,0.8155,89.9,3.95,1.107,-0.5416238,4.948,0.6303,18.51,0.8679,1836.0,98.0019,98.8916
1295546,AFP,AFP,0.0051565209,97.3651,55.8,3.723,0.0333,-0.3790884,4.468,0.1204,5.364,0.9195,20.98,2.5457,0.5966
1295546,AFP,AFP,0.0031491754,97.602,72.88,11.41,0.0333,-0.3790884,5.4,0.0412,3.978,0.3623,11.89,2.1944,0.4973
1296164,AFP,AFP,0.00028179402,87.4702,76.18,0.5097,0.03421,0.3721792,0.003663,0.007377,6.344,0.9904,0.04821,12.2988,7.513
1576115,AFP,AFP,0.032364734,99.8053,24.66,3.492,0.03515,-0.1101468,16.42,4.046,4.649,0.9949,419.7,0.1791,0.0707
1576115,AFP,AFP,0.0094781261,98.9317,87.53,6.0,0.03515,-0.1101468,-1.0,0.0569,5.115,0.1,104.7,1.0369,0.0971
1576141,UNK,AFP,0.00391604,51.8037,89.56,8.951,0.03458,-0.4320748,4.479,0.03493,5.781,0.01781,19.08,46.6151,43.6992
1576144,AFP,AFP,0.0066268845,88.3671,84.95,1.867,0.05,-0.0180578,22.12,0.02396,34.68,0.7001,45.21,10.9869,5.9555
1869607,AFP,AFP,0.025273508,93.6085,32.58,19.8,0.1186,0.0876128,17.37,17.32,8.064,0.9935,255.0,5.7303,1.7112
1869607,AFP,AFP,0.0083857337,92.2457,89.99,17.35,0.1186,0.0876128,9.696,0.1443,2.936,0.0007964,84.41,6.8469,2.2369
1870398,PC,PC,0.013398894,12.1578,87.48,21.26,0.2423,0.129484,12.38,0.4149,5.101,0.5715,197.5,10.6381,7.7447
1870849,AFP,AFP,0.0088559028,98.9348,84.0,1.501,0.01481,0.245988,17.74,0.01425,6.051,0.2761,90.07,1.0372,0.0971
2021099,UNK,NTP,0.0050959124,29.6643,88.57,3.49,0.02582,0.0933136,8.836,0.01781,9.158,0.08076,30.92,68.6629,84.0581
