,tce_ror,av_vf_afp,tce_incl,tce_duration,tce_sma,tce_ldm_coeff4,tce_model_snr,tce_ingress,tce_max_sngle_ev,tce_impact,tce_depth,av_vf_ntp,av_pp_ntp
0,-0.392031234552,1.14648976998,-2.60533083494,-0.547627498873,-0.41243357977,0.995605939586,-0.163858727066,-0.212986972542,-0.00872398678107,1.18951806987,-0.193115888247,-0.733060366533,-0.722339792246
1,-0.365645745159,-0.786161777207,0.504487771055,-0.607288666851,-0.401767635705,0.53679791695,-0.158327800189,-0.223736084339,-0.00872405455573,-0.836768079535,-0.192676910761,1.25625433214,1.46444939954
2,-0.366443142976,-0.845907644508,-0.0932607750015,-0.740090007424,-0.416252675871,0.717408592113,-0.159989247243,-0.222559514892,-0.00872382237076,0.505718353926,-0.192751776814,1.39164492428,1.5415411962
3,-0.371760185935,1.15385275754,0.604197315759,-0.594251596812,-0.41243357977,0.995605939586,-0.15735175427,-0.224319369475,-0.0087239438463,-1.32371819583,-0.192791602467,-0.741402092702,-0.722576343445
4,-0.305129942327,-1.15409644177,0.699328360961,1.57763588488,4.84219537317,1.09281000958,-0.163302742391,-0.181499574359,-0.00872331999511,-1.60259350476,-0.190720051067,1.67632191251,1.63137330589
5,0.690153069319,-0.788526039268,0.694749861459,-0.617011227559,-0.20661526559,-1.57278451424,0.176202901243,-0.156268325894,-0.00871697965907,-1.44047851016,0.0585561194274,-0.734222107729,-0.671811022599
6,-0.369444323496,-1.22852003396,0.302016348646,0.583062117954,-0.351293635889,1.09281000958,-0.159311799075,-0.214026886614,-0.00872386530552,-0.704546630037,-0.192755944615,1.87749941536,1.64139447484
7,-0.281605911425,1.12912209387,0.620476425098,-0.325113439044,-0.297929509293,-1.91300330569,-0.154965864244,-0.210480512985,-0.00872400422737,-0.704546630037,-0.189404878346,-0.740683298491,-0.722366075713
8,3.61158744224,0.978755026755,0.49075227255,-0.0146543982698,-0.219207960841,1.46215763722,1.54606527428,3.3252106647,-0.00869215921506,1.36167826383,0.987666989162,-0.675562134454,-0.695583223347
9,2.16596857106,0.652672625702,0.164661363595,-0.0584059214537,-0.314616550814,1.46215763722,0.781857469192,0.539774159823,-0.00871325691675,1.41069399568,0.251509863765,-0.503348590197,-0.565695110706
