,tce_ror,av_vf_afp,tce_incl,tce_duration,tce_sma,tce_ldm_coeff4,tce_model_snr,tce_ingress,tce_max_sngle_ev,tce_impact,tce_depth,av_vf_ntp,av_pp_ntp
0,0.0027042662,99.4727,25.04,2.392,0.01877,0.2972176,2.95,0.04453,4.959,0.926,6.092,0.5241,0.0776
1,0.005439672,19.3632,86.17,2.122,0.02187,0.1660276,10.6,0.01228,3.914,0.2563,34.53,75.5253,91.5978
2,0.0053570051,16.8867,74.42,1.521,0.01766,0.2176708,8.302,0.01581,7.494,0.7,29.68,80.6298,94.8242
3,0.0048057828,99.7779,88.13,2.181,0.01877,0.2972176,11.95,0.01053,5.621,0.09536,27.1,0.2096,0.0677
4,0.011713396,4.1121,90.0,12.01,1.546,0.3250118,3.719,0.139,15.24,0.00319,161.3,91.3627,98.5838
5,0.11489522,19.2652,89.91,2.078,0.07859,-0.4371792,473.3,0.2147,113.0,0.05677,16310.0,0.4803,2.1923
6,0.0050458702,1.0272,82.19,7.509,0.03654,0.3250118,9.239,0.04141,6.832,0.3,29.41,98.9475,99.0032
7,0.014152152,98.7528,88.45,3.399,0.05205,-0.5344602,15.25,0.05205,4.69,0.3,246.5,0.2367,0.0765
8,0.41776277,92.52,85.9,4.804,0.07493,0.4306218,2368.0,10.66,495.7,0.9829,76500.0,2.6919,1.1974
9,0.26789425,79.0037,79.49,4.606,0.0472,0.4306218,1311.0,2.303,170.4,0.9991,28810.0,9.1847,6.6334
10,0.0059114271,15.3515,86.79,5.53,0.04184,0.379668,11.97,0.03392,3.323,0.2052,40.43,80.4146,95.1343
11,0.0077313756,6.3528,12.39,1.626,0.02636,0.379668,11.52,0.7649,6.68,0.9948,31.94,93.2192,98.4428
12,0.010525716,19.9649,84.7,1.448,0.01374,0.0853638,10.86,0.01645,15.42,0.2898,129.3,76.1077,92.3372
13,0.031580483,10.2498,89.86,1.277,0.1401,-0.5658316,101.3,0.04333,23.83,0.318,1221.0,0.1077,0.9553
14,0.0043276178,91.8256,62.01,3.354,0.01913,0.0002518,4.058,0.02918,6.567,0.712,19.39,6.3658,2.0293
15,0.011363371,99.3521,28.19,3.332,0.01913,0.0002518,15.23,0.1802,4.422,0.895,111.3,0.6261,0.079
16,0.0081488352,99.2034,87.46,3.188,0.01913,0.0002518,18.36,0.02603,5.347,0.1,79.63,0.6279,0.0791
17,0.0090518902,98.9912,62.14,1.399,0.02118,0.3025464,11.18,0.06443,4.18,0.9013,71.9,0.8974,0.0892
18,0.0095941849,97.0384,77.27,1.361,0.02118,0.3025464,14.42,0.02516,6.83,0.7002,94.81,2.8225,0.6822
19,0.02952787,52.8551,88.16,1.113,0.0501,-0.4978238,137.9,0.06198,27.41,0.7064,890.7,6.5035,17.2313
20,0.0084950296,9.1811,26.75,4.175,0.02957,0.3025464,10.3,0.1977,4.323,0.9104,62.76,90.561,97.9136
21,0.0048594005,7.8049,76.06,3.461,0.02314,0.2176708,9.234,0.02228,4.474,0.5,26.43,92.1141,98.1647
22,0.0051770702,99.7202,49.33,2.349,0.01877,0.2972176,8.812,0.05053,4.885,0.8744,24.27,0.2798,0.0721
23,0.0035302209,10.2165,81.19,1.408,0.01378,0.1660276,5.218,0.005981,7.186,0.4156,14.14,88.6209,97.5565
24,0.016107057,99.7898,65.47,2.897,0.01855,0.3521146,16.21,0.0776,3.963,0.644,275.1,0.1482,0.0763
25,0.0044584673,8.0186,79.43,3.33,0.02726,0.3426902,8.124,0.01989,6.389,0.5077,22.04,90.3254,97.9898
26,0.14085155,81.3504,84.59,1.632,0.01851,-0.3782268,663.3,0.2612,94.61,0.5078,23050.0,2.0419,6.2334
27,0.0039820732,70.7907,88.24,1.421,0.0159,0.3481512,15.74,0.005698,12.89,0.1038,18.43,23.1004,19.0027
28,0.0022943664,8.5581,31.22,2.16,0.02004,-0.0054406,10.12,0.02578,20.0,0.9,4.77,91.2567,98.0297
29,0.0030920677,95.1112,83.98,3.159,0.03181,-0.0054406,17.03,0.01088,5.188,0.3246,10.65,4.7926,1.3353
30,0.0036590295,96.7692,79.09,2.005,0.03181,-0.0054406,20.18,0.01428,5.716,0.7,13.77,2.6891,0.6442
31,0.0051467555,1.9554,45.18,8.03,0.04286,0.206524,8.974,0.2097,6.6,0.8989,23.09,97.9286,98.878
32,0.006332059,6.4929,87.3,6.716,0.05218,0.4218842,10.48,0.04402,4.449,0.2008,46.86,91.8765,98.2947
33,0.0082259636,14.0549,89.99,10.76,0.1602,-0.122164,9.339,0.08783,8.445,0.004853,82.34,4.481,5.9825
34,0.012940222,7.0908,13.5,2.232,0.02935,0.2283484,13.29,2.233,4.206,0.9973,60.83,92.4857,98.2917
35,0.0061797456,99.4898,68.08,4.822,0.04659,0.2283484,6.253,0.152,3.914,0.9,33.27,0.5007,0.0775
36,0.0074979887,96.6887,32.17,7.093,0.04659,0.2283484,11.8,0.5995,4.204,0.9584,42.58,3.2927,0.829
37,0.015831981,11.6432,57.49,1.854,0.01857,0.4270188,11.01,0.1429,10.51,0.9,220.6,88.0765,97.3651
38,0.28490678,99.8976,89.57,7.5,0.08974,0.0385542,-1.0,1.676,1955.0,0.1,354100.0,0.071,0.0081
39,0.41664105,93.0609,76.38,18.64,0.08974,0.0385542,1316.0,9.32,199.6,0.9992,71520.0,5.6832,1.705
40,0.028834895,8.7493,89.91,9.138,1.121,-0.391372,6.595,0.339,6.404,0.5014,955.9,79.4943,93.7265
41,0.033761186,63.0498,89.87,2.33,0.1109,0.2041058,102.6,0.07683,18.2,0.1,1343.0,0.3777,3.8437
