,boot_messtd,tce_slogg,tce_mesmad,tce_model_snr,tce_sma,tce_duration,tce_max_sngle_ev,tce_depth,tce_minmesd,tce_rsnrmes,tce_ldm_coeff4,tce_period,tce_ror,tce_sradius,tce_robstat,tce_incl,tce_rminmes,tce_eqt,tce_model_chisq,tce_bin_oedp_stat,tce_max_mult_ev,tce_dor,tce_chisq1,tce_steff,tce_impact,tce_minmes,tce_prad,tce_smet,tce_chisq2,tce_rmesmad,boot_mesmean,tce_maxmes,boot_fap,boot_mesthresh,tce_ingress,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_maxmesd
547,-0.00886973869574,-0.874811182571,0.165026909226,-0.154712815302,-0.374930744187,-0.423222915275,-0.00872394708911,-0.192217372123,-0.177304554127,0.837003403569,-0.413766692562,-0.322044257393,-0.329049622583,0.0730712516884,-0.0340837666397,-2.97008462857,0.497145662241,1.39076852759,-0.00542901607294,-0.0103495994167,-0.00838281838936,-0.271516880833,-0.00993540927098,1.47009496328,1.30691377331,0.00885114699395,-0.109686969292,-0.345560469496,-0.007149489967,-0.011093374664,0.00890499459346,-0.00790377966582,0.155813270442,-0.00869244887722,-0.111138721639,0.220553789355,-0.403555150154,0.336103979221,-0.181022580589
548,-0.00886972719024,-0.545351447817,-0.124980652513,-0.156433548109,-0.402731011298,-0.42035034052,-0.00872390765658,-0.192856743651,-0.188063058269,0.566198364427,0.0971381959044,-0.326573872971,-0.369625441932,0.0112047476598,-0.0340990066333,-2.38454541452,-0.332550262086,1.51342939318,-0.00540488839647,-0.0103489862496,-0.00838289576575,-0.271538615888,-0.00993540922509,1.30514448102,1.05215299419,0.00885348657133,-0.146877291817,0.854689614938,-0.00714885758019,-0.0110843343046,0.00890497004051,-0.0079037347528,0.155813270442,-0.00869244377131,-0.206157536861,0.192928757271,-0.0147166906936,-0.122516472889,-0.196989342825
549,-0.00886973291022,-0.23527169746,0.586457409919,-0.1596646216,-0.419005177565,-0.661646619898,-0.00872367676873,-0.191874840636,-0.182678781208,-0.743656688972,0.996755844897,-0.328108810649,-0.322627401908,-0.0698770260221,-0.0341202717407,-1.80561958864,0.540130886082,1.09944897181,-0.00619221257622,-0.0103495881044,-0.00838271522083,-0.270287624275,-0.00993540921496,0.572595159821,1.11085084591,0.00885061867499,-0.133430292588,0.672833541539,-0.00714876443795,-0.0110966355561,0.00890486181889,-0.00790121031723,0.155813270442,-0.00869250400887,-0.196838306913,-0.16988362615,0.698965897419,-0.904113457965,-0.198042234448
550,-0.00886973290707,-0.23527169746,-0.0242560749726,-0.153057152224,-0.419005177565,-0.488187298184,-0.00872404106566,-0.19029555283,-0.190216266594,0.63192774286,0.996755844897,-0.32810829844,-0.295260021158,-0.0698770260221,-0.0340249331759,0.67185736395,-0.285915349428,1.09944897181,-0.00615157648952,-0.0103491494487,-0.00838258787219,-0.26561969409,-0.0099354091649,0.572595159821,-1.55981063758,0.00885278947794,-0.120806999283,0.672833541539,-0.00714833426785,-0.0110856839717,0.00890486181407,-0.00790396680342,0.155813270442,-0.0086925039928,-0.216670001545,-0.16988362615,0.698965897419,-0.904113457965,-0.199926885326
551,-0.00886973239107,0.656207584816,-0.209012111866,-0.155377972522,-0.406825357568,-0.693465909486,-0.00872354504591,-0.189725953377,-0.198067813872,-0.18232779716,-1.50637678304,-0.323604019503,-0.276797201387,-0.194165388693,-0.033943416931,0.171783473931,-0.672782363997,-0.295818374289,-0.00790400772831,-0.0103430428187,-0.0083824331194,-0.25193607233,-0.0099354092626,-0.821447890229,0.454584658354,0.00885390956489,-0.149121890464,0.45460625346,-0.00714901445134,-0.0110611152104,0.00890501455083,-0.00790378270049,0.155813270442,-0.00869243075278,-0.212393688232,1.05107231849,-1.28102108316,1.41174200811,-0.212099217129
552,-0.0088697809825,0.733727522405,-0.262911078218,-0.162257288761,3.6999071701,-0.262579696312,-0.00872372002777,-0.182639148255,3.26038173091,-0.759957574823,-0.454449838882,4.07038325792,-0.136416654054,-0.192721466696,-0.0343248775156,0.693732417125,-0.101606064185,-1.32386975402,-0.00983050491435,-0.0103488838558,-0.00838317133856,3.01016673785,-0.00993540931569,-0.467861728262,1.18618984116,0.008853573708,-0.120086256598,-0.0545907520575,-0.00715028597164,-0.01107116541,0.00890507204997,-0.00790361114083,0.155813270442,-0.00869247528516,-0.0191129924304,-0.00558301014948,-0.162941451181,0.328173271078,8.92335390535
553,-0.00887008377775,0.0166680997048,0.325875005664,-0.161385354407,-0.280519936078,2.21181200375,-0.00872395214789,-0.191825290115,-0.139375927663,-0.425526497359,1.0407551111,-0.296164764295,-0.332942212893,-0.112972544089,-0.0333114888232,0.281667461972,1.50243217075,-0.265153157892,-0.00544425460546,-0.0103495765256,-0.00838315586328,-0.263845575786,-0.00993540926812,0.406798777655,-0.703638931299,0.00885067789409,-0.145888844707,0.163636536021,-0.00714447315419,-0.0110974308957,0.00890495615645,-0.00790208834659,-6.15398037109,-0.00869271914928,-0.180166351191,-0.645837461103,0.904074677413,-0.985974318863,-0.13435359912
554,-0.00886973114901,-0.0802318222817,0.120323304587,-0.159300954121,-0.36068654792,0.319227175118,-0.00872406700811,-0.193023455686,-0.182490344073,0.479435584897,0.520711832791,-0.317438976308,-0.385851369398,-0.0928687070525,-0.0342822409753,-0.290644975742,1.21856748501,0.317485953666,-0.00605760553903,-0.010346891335,-0.0083831603769,-0.266002451396,-0.00993540927828,0.825519232615,0.199218746738,0.00885121044298,-0.164164819924,0.0908941066618,-0.00714959904147,-0.011095628126,0.00890482530656,-0.00790332790556,0.155813270442,-0.00869251855924,-0.216909981716,-0.242181970514,0.419675163168,-0.520647165937,-0.216677662328
555,-0.00886967658961,-0.0414718534871,-0.166006112466,-0.157373444179,-0.414635581125,-0.653691797501,-0.00872244962574,-0.189363200337,-0.186761585792,1.57843079228,1.33261492843,-0.327150999082,-0.276403513049,-0.101865451803,-0.034255659591,0.646421255608,0.390493644598,0.900125065223,-0.00943941686659,-0.0103495344438,-0.00838320720574,-0.257416432464,-0.00993540929007,0.781532437347,-1.44643906521,0.00885284742806,-0.12161011256,-0.345560469496,-0.00715000445534,-0.0110875228931,0.00890498564555,-0.00790325244359,0.155813285672,-0.00869236519922,-0.218573177618,-0.887959709019,1.16807117028,-1.27185384487,-0.196748107512
556,-0.00886974083822,0.888767397583,-0.227982850417,1.97769446977,-0.0844385966411,0.05207772295,-0.0086558851771,2.59767303192,0.0187605157432,-0.846194519326,-0.544681733606,-0.181135973607,3.46108253381,-0.216823856955,0.163603051132,0.659648031946,-0.991481301889,-1.06551530587,-0.00903153214638,-0.00984910303785,-0.00797592575518,-0.0378752346346,-0.00993540459637,-0.966942674579,-0.206825155382,0.00882729904004,0.41721711845,-2.23686363285,-0.00711212951012,0.00236363773319,0.00890502483135,-0.00783675001416,0.155813270442,-0.00869243764299,0.356455974148,-0.790030216458,0.129670413065,0.311781102739,0.0107896471447
