,tce_period,tce_ror,tce_dor,tce_incl,tce_impact,tce_duration,tce_ingress,tce_depth,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_model_snr,tce_model_chisq,tce_robstat,tce_chisq1,tce_chisq2,tce_prad,tce_sma,tce_eqt,tce_steff,tce_slogg,tce_smet,tce_sradius,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_rmesmad,tce_rsnrmes,tce_rminmes,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd
336,5.68643,0.022186952,18.952904,89.14,0.2835,2.251,0.05303,574.7,0.2893276,0.8412648,-0.5944888,0.1541416,41.47,5387.0,44.94,5177.0,1356.0,2.315,0.06071,1060.0,6052.0,4.44,-0.4,0.956,9.742,40.59,0.002779,17.23,1.022,0.211,3.0277913281e-311,7.592468,0.01712611,1.076247
337,1.35724,0.0034600424,1.347265,50.07,0.8647,3.918,0.05302,11.03,0.465084,0.430352,-0.280564,0.057572,10.02,26180.0,14.06,15590.0,1647.0,1.343,0.03077,3660.0,7725.0,3.66,0.08,3.556,5.528,12.25,0.5484,2.848,0.8181,0.5081,2.6116054744e-34,6.355949,-1.746655,1.151119
338,0.673128,0.010462405,2.4914469,78.47,0.4981,1.815,0.0249,125.8,0.6153428,-0.3310984,0.9508952,-0.448044,9.384,30140.0,12.67,27040.0,3397.0,0.9796,0.01482,1830.0,5461.0,4.55,0.14,0.858,3.69,10.61,0.00737,12.71,0.8845,0.204,8.6447931777e-27,6.490682,-1.511868,1.138086
339,1.80016,0.0057327999,2.3481874,87.55,0.1002,5.861,0.03374,38.52,0.2523152,1.0721391,-1.0065448,0.3447604,9.928,32790.0,16.31,32240.0,5328.0,0.9127,0.0302,2030.0,6634.0,4.16,-0.36,1.459,9.136,8.766,0.01516,2.268,1.133,0.6575,4.097356937e-10,9.986797,0.4141541,1.36015
340,0.535446,0.0038699973,1.0063959,21.68,0.9352,1.483,0.04442,12.27,0.2523152,1.0721391,-1.0065448,0.3447604,4.49,23960.0,12.56,28870.0,3605.0,0.6161,0.01345,3050.0,6634.0,4.16,-0.36,1.459,5.095,9.073,0.1177,2.137,0.4949,0.5996,9.1826093869e-12,9.487361,0.33426,1.300783
341,477.014,0.055515737,316.10406,90.0,0.0009928,12.17,0.64,3948.0,0.6560788,-0.6082272,1.3275079,-0.5548692,8.524,403.5,13.42,494.8,1.049,15.91,1.162,323.0,4875.0,3.56,-0.06,2.626,21.62,12.48,0.6413,19.39,0.683,1.304,2.8914139321e-11,13.5566,-4.03963,2.507749
342,1.84362,0.010554722,2.7060126,79.32,0.5015,4.566,0.0635,125.9,0.424112,0.4385096,-0.1008936,-0.0397928,20.31,21920.0,21.66,9507.0,1053.0,1.283,0.02974,1630.0,6032.0,4.36,-0.04,1.114,8.651,20.33,0.5075,10.36,0.9993,0.1932,3.991004322e-79,7.514275,-0.1528311,1.08942
343,1.39938,0.0097109071,1.813017,66.86,0.7125,4.218,0.08161,97.31,0.3617742,0.8332246,-0.7856324,0.2672506,6.287,29730.0,13.72,39170.0,3967.0,1.504,0.02704,2180.0,6829.0,4.26,-0.04,1.419,38.91,10.38,0.3494,1.561,0.6054,1.519,2.4179349116e-11,11.07024,0.7168305,1.470223
344,0.699673,0.02551726,2.1821504,87.37,0.1,2.5,0.06282,760.0,0.3617742,0.8332246,-0.7856324,0.2672506,-1.0,-1.0,15.25,77590.0,6390.0,3.951,0.01703,2750.0,6829.0,4.26,-0.04,1.419,7.425,9.255,0.0,1.031,-0.1081,1.735,5.7434936097e-20,7.191202,0.1377158,1.004763
345,0.585522,0.0097063896,2.114665,75.74,0.5209,1.83,0.02405,103.4,0.4195596,0.7608688,-0.782532,0.2772248,8.546,32520.0,7.792,25640.0,2410.0,1.543,0.01567,3050.0,7177.0,4.29,0.07,1.457,4.78,8.227,0.06427,4.001,1.039,0.4072,3.3500545589e-17,6.977825,0.3095402,0.9479289
346,14.9112,0.030723582,18.893046,87.4,0.8574,3.45,0.3599,848.2,0.5154108,0.0157092,0.5171572,-0.2930224,101.8,2919.0,143.5,2795.0,449.0,3.007,0.1154,694.0,5644.0,4.5,-0.06,0.897,20.59,106.0,0.3874,161.5,0.9612,0.03066,0.0,7.348454,-0.03728991,1.04863
347,3.00168,0.0051044685,1.4478245,60.62,0.7103,11.26,0.1149,26.95,0.2044282,1.1459982,-1.0397733,0.3473324,10.07,36620.0,16.04,6217.0,1521.0,0.5693,0.04079,1420.0,6450.0,4.42,-0.52,1.022,7.222,8.36,1.482,5.632,1.205,0.7482,7.6321336865e-14,7.96369,-0.1413417,1.15111
